Number of parameters: 7346
step=89, E=(-24.412047133408603-0.001866561728193045j), E_err=0.06929731697260873, E_var=2.453882369336727, info=()
step=90, E=(-24.2385080714217+0.0022747181699094j), E_err=0.06405768408565894, E_var=2.0968307010036407, info=()
step=91, E=(-24.45638565088924+0.007374581028275178j), E_err=0.06139283159261003, E_var=1.9259997629598327, info=()
step=92, E=(-24.48452563672035+0.008957783266345547j), E_err=0.06811527319712037, E_var=2.3708818162290743, info=()
step=93, E=(-24.396796396459834-0.0026481508923003848j), E_err=0.05813021130548139, E_var=1.7267310693405773, info=()
step=94, E=(-24.545833869918923-0.0016192841939353425j), E_err=0.055095603854157515, E_var=1.5511535632317253, info=()
step=95, E=(-24.54631166397005+0.003015407016742756j), E_err=0.06910039813353727, E_var=2.439956026351028, info=()
step=96, E=(-24.459541205048343+0.004189673388874285j), E_err=0.06802543357506088, E_var=2.3646318622813354, info=()
step=97, E=(-24.49155782543998+0.0011349134688816978j), E_err=0.06893690831638515, E_var=2.428423934721284, info=()
step=98, E=(-24.541343082701605-0.0009021962622398215j), E_err=0.06339991468499132, E_var=2.053989632034795, info=()
step=99, E=(-24.512326843632728-0.0023762742846111223j), E_err=0.0614884520513307, E_var=1.9320039949267542, info=()
step=100, E=(-24.49296850421973+0.001208813614826952j), E_err=0.06313868402993926, E_var=2.037098138147611, info=()
step=101, E=(-24.513716803488187+0.003033570341436147j), E_err=0.058655374359727855, E_var=1.7580714529939878, info=()
step=102, E=(-24.5802761812639+0.006434193194710976j), E_err=0.06513636439409597, E_var=2.168043188871511, info=()
step=103, E=(-24.553247575702336+0.0033540866869997527j), E_err=0.06614037704333593, E_var=2.2353947819471, info=()
step=104, E=(-24.5931921667892-8.364043990881538e-06j), E_err=0.06701636104060155, E_var=2.2949994426804956, info=()
step=105, E=(-24.620575128805832+0.004686794867944156j), E_err=0.06731203887059292, E_var=2.3152953048041844, info=()
step=106, E=(-24.479223575901383+0.0013658179239132437j), E_err=0.07228753292056848, E_var=2.670224069444301, info=()
step=107, E=(-24.57169382169423-0.003288621493117551j), E_err=0.07356325067213691, E_var=2.7653029950697943, info=()
step=108, E=(-24.572785205246685-0.0030607997852321674j), E_err=0.060586787997260264, E_var=1.8757577875905544, info=()
step=109, E=(-24.726233336886366-0.0031035250980432205j), E_err=0.07338194650162079, E_var=2.751689046979402, info=()
step=110, E=(-24.620831772573595+0.002529227023886556j), E_err=0.0641561865673875, E_var=2.1032843164582804, info=()
step=111, E=(-24.50400217030176+0.0007458776151015841j), E_err=0.0643544485668173, E_var=2.1163039707232967, info=()
step=112, E=(-24.512641819612345-0.001791728338854957j), E_err=0.05914961608070072, E_var=1.7878239891545815, info=()
step=113, E=(-24.584789879008333-0.0002735899647404289j), E_err=0.061618281107602806, E_var=1.9401712215609914, info=()
step=114, E=(-24.56377022937796+0.0036765824402686066j), E_err=0.07104985304556564, E_var=2.579569706693998, info=()
step=115, E=(-24.666394277441846+0.0015854928836464242j), E_err=0.06468570365240613, E_var=2.13814677133053, info=()
step=116, E=(-24.729807991314516-0.005545883539221163j), E_err=0.06301607204148342, E_var=2.0291939464596256, info=()
step=117, E=(-24.44709014762121-0.0007537945811152399j), E_err=0.06497703733497061, E_var=2.1574498596042138, info=()
step=118, E=(-24.674774329890376+0.0048809989787921984j), E_err=0.06818691061906183, E_var=2.3758713924634547, info=()
step=119, E=(-24.765274478304242-0.005300076171898446j), E_err=0.06528623180629356, E_var=2.178031244430664, info=()
step=120, E=(-24.54128490774187+0.0012352663303746058j), E_err=0.06358678324237121, E_var=2.0661155705903855, info=()
step=121, E=(-24.60995180386515+0.0006577770788504865j), E_err=0.06587541343767532, E_var=2.217520318843758, info=()
step=122, E=(-24.690840225706076+0.0027750372484574458j), E_err=0.06558585640013735, E_var=2.1980688300268527, info=()
step=123, E=(-24.78108201372447+0.0015583277715438446j), E_err=0.06652794117882826, E_var=2.2616691152792465, info=()
step=124, E=(-24.769534465616754-0.0030859717488555625j), E_err=0.06886112538665358, E_var=2.4230876952428932, info=()
step=125, E=(-24.674039411631462+0.0037537471567517544j), E_err=0.06162850587036192, E_var=1.9408151680005625, info=()
step=126, E=(-24.61764562722133+0.0036232150729708693j), E_err=0.06389361718295344, E_var=2.0861034958448412, info=()
step=127, E=(-24.633245702594433-0.0008704867540735366j), E_err=0.06211205028954244, E_var=1.9713903702882016, info=()
step=128, E=(-24.670322625814862-0.001919412623131701j), E_err=0.06550365246494937, E_var=2.1925622564731713, info=()
step=129, E=(-24.808697424795987-0.002238921559939222j), E_err=0.06331705760905762, E_var=2.0486244397613165, info=()
step=130, E=(-24.834095165116796-0.0021288463866403944j), E_err=0.062242492022863624, E_var=1.9796793125534997, info=()
step=131, E=(-24.9357379009509+0.002940623179242944j), E_err=0.06072106798477022, E_var=1.8840815776748656, info=()
